"","value"
"616","through the silver a little, and it wouldn’t pass nohow, even if the"
"617","brass didn’t show, because it was so slick it felt greasy, and so that"
"618","would tell on it every time. (I reckoned I wouldn’t say nothing about"
"619","the dollar I got from the judge.) I said it was pretty bad money, but"
"620","maybe the hair-ball would take it, because maybe it wouldn’t know the"
"621","difference. Jim smelt it and bit it and rubbed it, and said he would"
"622","manage so the hair-ball would think it was good. He said he would split"
"623","open a raw Irish potato and stick the quarter in between and keep it"
"624","there all night, and next morning you couldn’t see no brass, and it"
"625","wouldn’t feel greasy no more, and so anybody in town would take it in a"
"626","minute, let alone a hair-ball. Well, I knowed a potato would do that"
"627","before, but I had forgot it."
"628",""
"629","Jim put the quarter under the hair-ball, and got down and listened"
"630","again. This time he said the hair-ball was all right. He said it would"
"631","tell my whole fortune if I wanted it to. I says, go on. So the"
"632","hair-ball talked to Jim, and Jim told it to me. He says:"
"633",""
"634","“Yo’ ole father doan’ know yit what he’s a-gwyne to do. Sometimes he"
"635","spec he’ll go ’way, en den agin he spec he’ll stay. De bes’ way is to"
"636","res’ easy en let de ole man take his own way. Dey’s two angels hoverin’"
"637","roun’ ’bout him. One uv ’em is white en shiny, en t’other one is black."
"638","De white one gits him to go right a little while, den de black one sail"
"639","in en bust it all up. A body can’t tell yit which one gwyne to fetch"
"640","him at de las’. But you is all right. You gwyne to have considable"
"641","trouble in yo’ life, en considable joy. Sometimes you gwyne to git"
"642","hurt, en sometimes you gwyne to git sick; but every time you’s gwyne to"
"643","git well agin. Dey’s two gals flyin’ ’bout you in yo’ life. One uv"
"644","’em’s light en t’other one is dark. One is rich en t’other is po’."
"645","You’s gwyne to marry de po’ one fust en de rich one by en by. You wants"
"646","to keep ’way fum de water as much as you kin, en don’t run no resk,"
"647","’kase it’s down in de bills dat you’s gwyne to git hung.”"
"648",""
"649","When I lit my candle and went up to my room that night there sat pap"
"650","his own self!"
"651",""
"652",""
"653",""
"654",""
"655","CHAPTER V."
"656",""
"657",""
"658","I had shut the door to. Then I turned around and there he was. I used"
"659","to be scared of him all the time, he tanned me so much. I reckoned I"
"660","was scared now, too; but in a minute I see I was mistaken—that is,"
"661","after the first jolt, as you may say, when my breath sort of hitched,"
"662","he being so unexpected; but right away after I see I warn’t scared of"
"663","him worth bothring about."
"664",""
"665","He was most fifty, and he looked it. His hair was long and tangled and"
"666","greasy, and hung down, and you could see his eyes shining through like"
"667","he was behind vines. It was all black, no gray; so was his long,"
"668","mixed-up whiskers. There warn’t no color in his face, where his face"
"669","showed; it was white; not like another man’s white, but a white to make"
"670","a body sick, a white to make a body’s flesh crawl—a tree-toad white, a"
"671","fish-belly white. As for his clothes—just rags, that was all. He had"
"672","one ankle resting on t’other knee; the boot on that foot was busted,"
"673","and two of his toes stuck through, and he worked them now and then. His"
"674","hat was laying on the floor—an old black slouch with the top caved in,"
"675","like a lid."
"676",""
"677","I stood a-looking at him; he set there a-looking at me, with his chair"
"678","tilted back a little. I set the candle down. I noticed the window was"
"679","up; so he had clumb in by the shed. He kept a-looking me all over."
"680","By-and-by he says:"
"681",""
"682","“Starchy clothes—very. You think you’re a good deal of a big-bug,"
"683","_don’t_ you?”"
"684",""
"685","“Maybe I am, maybe I ain’t,” I says."
"686",""
"687","“Don’t you give me none o’ your lip,” says he. “You’ve put on"
"688","considerable many frills since I been away. I’ll take you down a peg"
"689","before I get done with you. You’re educated, too, they say—can read and"
"690","write. You think you’re better’n your father, now, don’t you, because"
"691","he can’t? _I’ll_ take it out of you. Who told you you might meddle with"
"692","such hifalut’n foolishness, hey?—who told you you could?”"
"693",""
"694","“The widow. She told me.”"
"695",""
"696","“The widow, hey?—and who told the widow she could put in her shovel"
"697","about a thing that ain’t none of her business?”"
"698",""
"699","“Nobody never told her.”"
"700",""
"701","“Well, I’ll learn her how to meddle. And looky here—you drop that"
"702","school, you hear? I’ll learn people to bring up a boy to put on airs"
"703","over his own father and let on to be better’n what _he_ is. You lemme"
"704","catch you fooling around that school again, you hear? Your mother"
"705","couldn’t read, and she couldn’t write, nuther, before she died. None of"
"706","the family couldn’t before _they_ died. _I_ can’t; and here you’re"
"707","a-swelling yourself up like this. I ain’t the man to stand it—you hear?"
"708","Say, lemme hear you read.”"
"709",""
"710","I took up a book and begun something about General Washington and the"
"711","wars. When I’d read about a half a minute, he fetched the book a whack"
"712","with his hand and knocked it across the house. He says:"
"713",""
"714","“It’s so. You can do it. I had my doubts when you told me. Now looky"
"715","here; you stop that putting on frills. I won’t have it. I’ll lay for"
"716","you, my smarty; and if I catch you about that school I’ll tan you good."
"717","First you know you’ll get religion, too. I never see such a son.”"
"718",""
"719","He took up a little blue and yaller picture of some cows and a boy, and"
"720","says:"
"721",""
"722","“What’s this?”"
"723",""
"724","“It’s something they give me for learning my lessons good.”"
"725",""
"726","He tore it up, and says:"
"727",""
"728","“I’ll give you something better—I’ll give you a cowhide.”"
"729",""
"730","He set there a-mumbling and a-growling a minute, and then he says:"
"731",""
"732","“_Ain’t_ you a sweet-scented dandy, though? A bed; and bedclothes; and"
"733","a look’n’-glass; and a piece of carpet on the floor—and your own father"
"734","got to sleep with the hogs in the tanyard. I never see such a son. I"
"735","bet I’ll take some o’ these frills out o’ you before I’m done with you."
"736","Why, there ain’t no end to your airs—they say you’re rich. Hey?—how’s"
"737","that?”"
"738",""
"739","“They lie—that’s how.”"
